項次,年度,廠商,授權方式,檔案格式,更新頻率,服務分類
1,2024,全衛豐防災顧問有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
2,2024,鼎鑫聯合科技有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
3,2024,台灣建築與都市防災顧問有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
4,2024,益國防災科技有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
5,2024,水星防火工程顧問有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
6,2024,遠揚防災工程顧問股份有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
7,2024,澔鋅安全管理顧問有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
8,2024,巨江防火科技股份有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
9,2024,新吉元防火有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
10,2024,財團法人消防安全中心基金會,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
11,2024,財團法人台灣建築中心,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
12,2024,安策性能設計有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
13,2024,頂曜防災顧問有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
14,2024,玉井機電工程有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
15,2024,松禾防火科技事業有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
16,2024,百宸科技顧問事業有限公司,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
17,2024,董速建築師事務所,政府資料開放授權條款-第1版,CSV,不定期更新,公共資訊
